Quarter	Time	Tm	Detail	TEN	WAS
1	3:58	Titans	Dontrell Hilliard 13 yard pass from Ryan Tannehill (Randy Bullock kick)	7	0
0:26	Commanders	Joey Slye 50 yard field goal	7	3
2	13:56	Commanders	Dyami Brown 75 yard pass from Carson Wentz (Joey Slye kick)	7	10
0:14	Titans	Derrick Henry 1 yard rush (Randy Bullock kick)	14	10
3	4:36	Commanders	Dyami Brown 30 yard pass from Carson Wentz (Joey Slye kick)	14	17
1:03	Titans	Derrick Henry 1 yard rush (Randy Bullock kick)	21	17
