BUF, 13,  3, 0
MIA, 9,   8, 0
NWE, 8,   9, 0
NYJ, 7,   10, 0
CIN, 12,  4, 0
BAL, 10,  7, 0
PIT, 9,   8, 0
CLE, 7,   10, 0
JAX, 9,   8, 0
TEN, 7,   10, 0
IND, 4,   12, 1
HOU, 3,   13, 1
KAN, 14,  3, 0
LAC, 10,  7, 0
LVR, 6,   11, 0
DEN, 5,   12, 0
PHI, 14,  3, 0
DAL, 12,  5, 0
NYG, 9,   7, 1
WAS, 8,   8, 1
MIN, 13,  4, 0
DET, 9,   8, 0
GNB, 8,   9, 0
CHI, 3,   14, 0
TAM, 8,   9, 0
CAR, 7,   10, 0
NOR, 7,   10, 0
ATL, 7,   10, 0
SFO, 13,  4, 0
SEA, 9,   8, 0
LAR, 5,   12, 0
ARI, 4,   13, 0
