Quarter	Time	Tm	Detail	CHI	MIN
1	8:15	Vikings	Dalvin Cook 1 yard rush (Greg Joseph kick)	0	7
6:06	Bears	Cairo Santos 50 yard field goal	3	7
2	14:55	Vikings	Dalvin Cook 5 yard rush (Greg Joseph kick)	3	14
7:20	Vikings	Jalen Reagor 1 yard pass from Kirk Cousins (Greg Joseph kick)	3	21
1:08	Bears	David Montgomery 9 yard rush (Cairo Santos kick)	10	21
3	10:24	Bears	Velus Jones Jr. 9 yard pass from Justin Fields (pass failed)	16	21
1:05	Bears	Cairo Santos 43 yard field goal	19	21
4	9:26	Bears	Cairo Santos 51 yard field goal	22	21
2:26	Vikings	Kirk Cousins 1 yard rush (two point pass successful)	22	29
