Quarter	Time	Tm	Detail	ATL	TAM
2	9:31	Buccaneers	Leonard Fournette 1 yard rush (Ryan Succop kick)	0	7
1:18	Buccaneers	Ryan Succop 21 yard field goal	0	10
0:00	Buccaneers	Ryan Succop 44 yard field goal	0	13
3	6:09	Buccaneers	Leonard Fournette 1 yard pass from Tom Brady (two point pass successful)	0	21
4	13:39	Falcons	Avery Williams 8 yard rush (Younghoe Koo kick)	7	21
4:38	Falcons	Olamide Zaccheaus 19 yard pass from Marcus Mariota (two point pass successful)	15	21
